,ICT_Export,ICT_Import,Exchange_Rate,GFCF_Total_Real,Software_Investment,Corporate_Loan_Rate,GFCF_InfoComm_Quarterly,전기기기 및 장치_계절조정지수,전기기기 및 장치_원지수,컴퓨터사무용기계_계절조정지수,컴퓨터사무용기계_원지수,특수산업용기계_계절조정지수,특수산업용기계_원지수
1995-01-01,,,,,,11.14,2600.8,60.9,50.6,15.7,15.3,80.1,71.0
1995-02-01,,,,,,11.14,2755.1,60.9,50.6,15.7,15.3,80.1,71.0
1995-03-01,,,,,,11.14,2976.8,79.4,85.7,16.0,18.0,80.1,71.0
1995-04-01,,,,,,11.14,3043.9,55.6,56.5,17.2,17.9,80.1,71.0
1995-05-01,,,,,,11.14,3059.8333333333335,78.4,75.4,18.6,18.8,80.1,71.0
1995-06-01,,,,,,11.14,3075.766666666667,81.4,86.3,19.7,19.4,80.1,71.0
1995-07-01,,,,,,11.14,3091.7000000000003,87.5,78.7,19.7,18.4,80.1,71.0
1995-08-01,,,,,,11.14,3107.6333333333337,74.4,78.0,18.5,17.5,80.1,71.0
1995-09-01,,,,,,11.14,3123.5666666666666,68.0,69.0,19.2,17.1,80.1,71.0
1995-10-01,,,,,,11.14,3139.5,69.5,69.9,19.4,18.4,80.1,71.0
1995-11-01,,,,,,11.14,3155.4333333333334,75.0,78.7,20.2,20.5,80.1,71.0
1995-12-01,,,,,,11.14,3171.366666666667,76.5,84.0,20.6,23.4,80.1,71.0
1996-01-01,,,,,,11.14,3187.3,68.1,66.9,18.2,18.5,80.1,71.0
1996-02-01,,,,,,11.21,3343.4,66.2,55.6,25.4,24.7,80.1,71.0
1996-03-01,,,,,,11.11,3624.5,69.6,73.6,23.2,25.8,80.1,71.0
1996-04-01,,,,,,10.91,3625.6,76.2,77.5,24.1,25.0,80.1,71.0
1996-05-01,,,,,,11.1,3628.8444444444444,71.8,68.9,24.1,24.2,80.1,71.0
1996-06-01,,,,,,11.15,3632.088888888889,64.2,68.0,25.0,24.5,80.1,71.0
1996-07-01,,,,,,10.85,3635.3333333333335,85.6,78.4,23.6,22.3,80.1,71.0
1996-08-01,,,,,,10.86,3638.577777777778,79.1,82.9,26.2,24.8,80.1,71.0
1996-09-01,,,,,,10.88,3641.822222222222,80.0,77.0,24.0,20.9,80.1,71.0
1996-10-01,,,,,,10.89,3645.0666666666666,81.2,84.8,24.5,23.5,80.1,71.0
1996-11-01,,,,,,10.7,3648.311111111111,58.5,61.5,23.8,24.2,80.1,71.0
1996-12-01,,,,,,10.94,3651.5555555555557,61.7,67.5,25.8,29.4,80.1,71.0
1997-01-01,,,,,,11.25,3654.8,86.6,85.7,25.0,25.4,80.1,71.0
1997-02-01,,,,,,11.21,3853.0,75.9,62.9,23.9,22.8,80.1,71.0
1997-03-01,,,,,,11.33,4251.3,79.5,84.0,24.8,27.7,80.1,71.0
1997-04-01,,,,,,11.34,4202.8,83.0,86.2,24.8,26.2,80.1,71.0
1997-05-01,,,,,,11.24,4160.666666666667,85.9,80.6,25.5,25.2,80.1,71.0
1997-06-01,,,,,,11.26,4118.533333333334,81.6,85.8,24.6,24.1,80.1,71.0
1997-07-01,,,,,,11.31,4076.4,78.4,71.4,25.3,23.8,80.1,71.0
1997-08-01,,,,,,11.52,4034.266666666667,77.1,79.4,24.3,22.6,80.1,71.0
1997-09-01,,,,,,11.71,3992.133333333333,81.4,81.1,23.9,21.2,80.1,71.0
1997-10-01,,,,,,11.62,3950.0,49.0,50.8,25.8,24.9,80.1,71.0
1997-11-01,,,,,,12.17,3907.866666666667,50.9,52.4,25.2,25.2,80.1,71.0
1997-12-01,,,,,,14.98,3865.733333333333,75.7,81.9,24.0,27.5,80.1,71.0
1998-01-01,,,,,,17.44,3823.6,50.6,48.1,24.1,23.4,80.1,71.0
1998-02-01,,,,,,17.09,4045.1,56.3,48.4,23.1,22.6,80.1,71.0
1998-03-01,,,,,,17.14,4511.8,51.2,55.3,18.9,21.5,80.1,71.0
1998-04-01,,,,,,17.19,4416.6,33.7,35.7,17.5,18.6,80.1,71.0
1998-05-01,,,,,,17.04,4438.7444444444445,34.3,32.0,16.4,16.1,80.1,71.0
1998-06-01,,,,,,16.52,4460.888888888889,36.3,37.9,14.6,14.3,80.1,71.0
1998-07-01,,,,,,15.51,4483.033333333334,34.3,31.1,16.4,15.4,80.1,71.0
1998-08-01,,,,,,14.95,4505.177777777778,37.0,38.1,15.8,14.7,80.1,71.0
1998-09-01,,,,,,14.18,4527.322222222222,35.7,35.8,20.4,18.8,80.1,71.0
1998-10-01,,,,,,12.81,4549.466666666666,39.9,42.3,20.4,19.4,80.1,71.0
1998-11-01,,,,,,11.62,4571.611111111111,30.2,31.2,25.4,25.3,80.1,71.0
1998-12-01,,,,,,10.96,4593.7555555555555,33.8,36.8,25.8,30.1,80.1,71.0
1999-01-01,,,,,,10.64,4615.9,35.3,34.8,30.4,30.2,80.1,71.0
1999-02-01,,,,,,10.21,5030.8,66.5,54.7,31.1,29.1,80.1,71.0
1999-03-01,,,,,,9.84,5502.8,57.2,61.9,30.7,35.2,80.1,71.0
1999-04-01,,,,,,9.28,5865.8,51.0,53.0,37.9,39.8,80.1,71.0
1999-05-01,,,,,,8.68,5918.0,62.4,56.9,43.6,41.9,80.1,71.0
1999-06-01,,,,,,8.55,5970.2,54.9,59.1,45.8,46.0,80.1,71.0
1999-07-01,,,,,,8.41,6022.400000000001,56.1,50.6,43.8,41.2,80.1,71.0
1999-08-01,,,,,,8.39,6074.6,52.3,55.3,44.6,42.0,80.1,71.0
1999-09-01,,,,,,8.41,6126.8,54.5,54.1,41.4,37.3,80.1,71.0
1999-10-01,,,,,,8.26,6179.0,54.0,57.2,36.2,35.3,80.1,71.0
1999-11-01,,,,,,8.13,6231.200000000001,52.5,55.5,60.7,61.1,80.1,71.0
1999-12-01,,,,,,8.17,6283.400000000001,61.8,66.5,50.2,58.7,80.1,71.0
2000-01-01,,,,,,8.22,6335.6,66.0,62.7,56.9,51.6,80.1,71.0
2000-02-01,,,,,,8.24,6745.6,57.3,51.6,56.9,53.8,80.1,71.0
2000-03-01,,,,,,8.44,6968.1,58.4,62.4,54.6,64.8,80.1,71.0
2000-04-01,,,,,,8.2,7378.2,61.5,60.9,60.1,62.9,80.1,71.0
2000-05-01,,,,,,8.24,7431.188888888889,49.5,48.3,61.0,56.3,80.1,71.0
2000-06-01,,,,,,8.21,7484.177777777778,54.3,54.5,60.8,60.3,80.1,71.0
2000-07-01,,,,,,8.15,7537.166666666667,56.2,49.9,65.2,61.0,80.1,71.0
2000-08-01,,,,,,8.02,7590.155555555556,57.3,61.6,84.4,70.5,80.1,71.0
2000-09-01,,,,,,8.09,7643.144444444444,58.1,56.8,62.0,60.5,80.1,71.0
2000-10-01,,,,,,8.13,7696.133333333333,59.7,62.5,61.9,64.4,80.1,71.0
2000-11-01,,,,,,8.11,7749.122222222222,61.5,64.4,55.5,54.6,80.1,71.0
2000-12-01,,,,,,8.11,7802.111111111111,53.9,56.9,57.4,70.0,80.1,71.0
2001-01-01,,,,,,8.23,7855.1,55.3,51.8,60.7,53.2,80.1,71.0
2001-02-01,,,,,,8.05,8026.3,48.1,42.3,52.4,50.9,80.1,71.0
2001-03-01,,,,,,8.02,8161.0,52.7,56.2,56.7,67.5,80.1,71.0
2001-04-01,,,,,,7.85,8773.0,52.2,53.6,57.1,60.1,80.1,71.0
2001-05-01,,,,,,7.74,8826.155555555555,51.3,52.1,51.2,47.5,80.1,71.0
2001-06-01,,,,,,7.61,8879.31111111111,67.6,68.0,63.4,63.0,80.1,71.0
2001-07-01,,,,,,7.55,8932.466666666667,52.8,47.0,54.3,50.6,80.1,71.0
2001-08-01,,,,,,7.29,8985.622222222222,55.4,59.3,50.5,42.6,80.1,71.0
2001-09-01,,,,,,7.12,9038.777777777777,54.6,53.7,51.8,51.6,80.1,71.0
2001-10-01,,,,,,6.93,9091.933333333332,54.1,58.5,63.1,64.6,80.1,71.0
2001-11-01,,,,,,6.78,9145.08888888889,44.0,45.8,60.4,59.6,80.1,71.0
2001-12-01,,,,,,6.69,9198.244444444445,53.3,56.5,63.3,76.8,80.1,71.0
2002-01-01,,,,,,6.69,9251.4,81.4,78.4,60.0,55.6,80.1,71.0
2002-02-01,,,,,,6.59,9464.0,56.5,48.5,62.3,57.7,80.1,71.0
2002-03-01,,,,,,6.57,9661.4,68.2,69.9,61.0,72.5,80.1,71.0
2002-04-01,,,,,,6.58,10006.6,58.8,62.7,60.4,63.6,80.1,71.0
2002-05-01,,,,,,6.46,10001.211111111112,48.9,51.8,67.4,62.8,80.1,71.0
2002-06-01,,,,,,6.47,9995.822222222223,68.7,64.4,60.5,59.3,80.1,71.0
2002-07-01,,,,,,6.48,9990.433333333334,57.0,51.0,58.7,54.3,80.1,71.0
2002-08-01,,,,,,6.41,9985.044444444446,58.5,62.0,62.4,53.6,80.1,71.0
2002-09-01,,,,,,6.46,9979.655555555555,68.0,66.8,76.0,74.6,80.1,71.0
2002-10-01,,,,,,6.44,9974.266666666666,51.5,55.8,64.9,66.8,80.1,71.0
2002-11-01,,,,,,6.41,9968.877777777778,60.8,62.9,66.5,65.8,80.1,71.0
